,Artist,Artist Genre,Song,Popularity,Hit?,Duration,Explicit,Acousticness,Danceability,Energy,Instrumentalness,Key,Liveness,Loudness,Mode,Speechiness,Tempo,Time_Signature,Valence
6,Jay Frog,['pop house'],Tzzzz - Bounce Radio Edit,25,0,221250,0,0.00499,0.784,0.943,0.00236,5,0.327,-3.774,1,0.256,127.969,4,0.531
7,Jay Frog,['pop house'],Am Fenster - Jonny Nevs & Jay Frog Update [Radio Edit],25,0,208666,0,0.00883,0.676,0.954,0.000737,7,0.353,-4.702,1,0.29,120.024,4,0.352
8,Jay Frog,['pop house'],Somebody´s Watching Me - DJ Blackstone Deep Radio Edit,7,0,188188,0,0.00916,0.695,0.844,0.0523,1,0.736,-4.075,0,0.0638,122.022,4,0.502
9,Jay Frog,['pop house'],Sunchyme 2K18,24,0,175000,0,0.0204,0.33,0.854,0.901,4,0.166,-6.613,1,0.0417,119.195,4,0.15
0,Steve James,['pop edm'],Ruin My Life - Steve James Remix,56,1,177096,1,0.0103,0.723,0.837,0.000477,11,0.0834,-6.487,1,0.0389,123.952,4,0.643
1,Steve James,['pop edm'],Like I Do,51,1,170000,0,0.126,0.751,0.65,0.0000178,1,0.161,-6.212,0,0.046,119.983,4,0.485
2,Steve James,['pop edm'],Until We Leave the Ground - Steve James Remix,35,0,197419,0,0.0448,0.744,0.577,0.0652,0,0.111,-9.599,0,0.0385,124.005,4,0.321
3,Steve James,['pop edm'],missing you,41,0,181946,0,0.0261,0.793,0.656,0.00019,0,0.117,-9.012,1,0.0652,124.095,4,0.422
4,Steve James,['pop edm'],Candles,40,0,184285,0,0.0858,0.718,0.843,0,9,0.552,-3.206,0,0.087,112.097,4,0.334
5,Steve James,['pop edm'],hurts (feat. Jordan Shaw),40,0,183840,0,0.0555,0.786,0.615,0,4,0.153,-9.715,1,0.0487,121.048,4,0.48
6,Steve James,['pop edm'],Like I Do - Zookëper Remix,39,0,222447,0,0.139,0.8,0.797,0.0000386,1,0.0823,-5.253,0,0.0586,123.994,4,0.839
7,Steve James,['pop edm'],us,37,0,319354,0,0.028,0.877,0.522,0.133,7,0.41,-7.646,0,0.0448,123.998,4,0.692
8,Steve James,['pop edm'],Bonfire (with Steve James),20,0,193684,0,0.119,0.651,0.789,0.0000144,1,0.461,-5.878,0,0.0529,124.979,4,0.431
9,Steve James,['pop edm'],fall for you,36,0,197200,0,0.222,0.791,0.564,0.000234,0,0.09,-8.091,1,0.0508,114.991,4,0.675
0,Delta Jack,['pop edm'],Bruises - Delta Jack Remix,46,0,200160,0,0.306,0.87,0.717,0.000128,1,0.376,-6.072,0,0.0668,121.016,4,0.459
1,Delta Jack,['pop edm'],Needed You,30,0,216215,0,0.158,0.898,0.515,0.000332,0,0.0677,-7.348,0,0.0932,121.992,4,0.358
2,Delta Jack,['pop edm'],Broken Youth,25,0,175856,0,0.335,0.795,0.652,0.00184,9,0.159,-6.6,1,0.106,123.963,4,0.447
3,Delta Jack,['pop edm'],Everything,22,0,197421,0,0.108,0.686,0.915,0.0000456,11,0.198,-3.712,0,0.0473,124.065,3,0.262
4,Delta Jack,['pop edm'],Finally,20,0,197421,0,0.383,0.724,0.678,0,11,0.37,-9.028,0,0.109,123.998,4,0.433
5,Delta Jack,['pop edm'],Say What You Like,19,0,142903,0,0.466,0.786,0.812,0.00719,0,0.168,-4.765,0,0.0591,125.895,4,0.365
6,Delta Jack,['pop edm'],Be There,16,0,158054,0,0.0719,0.862,0.629,0.000717,1,0.349,-6.547,0,0.0665,125.04,4,0.148
7,Delta Jack,['pop edm'],Mūsų Meilę (Mylėjau Viena) - Delta Jack Remix,16,0,184761,0,0.28,0.654,0.569,0.0503,1,0.0982,-8.591,1,0.0806,126.079,4,0.303
8,Delta Jack,['pop edm'],Say What You Like (Buzz Low Remix),11,0,143870,0,0.249,0.67,0.855,0.000276,5,0.163,-4.257,0,0.209,126.09,4,0.613
9,Delta Jack,['pop edm'],Say What You Like (ADAG!O Remix),10,0,160693,0,0.126,0.703,0.759,0.0362,0,0.0928,-6.146,0,0.0515,123.971,4,0.463
0,La Sonora Dinamita,"['cumbia', 'salsa colombiana', 'tropical']",El Viejo Del Sombrerón,48,0,255293,0,0.291,0.827,0.761,0.00011,10,0.096,-4.909,1,0.0433,106.99,4,0.933
1,La Sonora Dinamita,"['cumbia', 'salsa colombiana', 'tropical']",Amor de Mis Amores,55,1,246653,0,0.36,0.669,0.824,0.0000884,4,0.124,-5.127,0,0.0514,104.031,4,0.9
2,La Sonora Dinamita,"['cumbia', 'salsa colombiana', 'tropical']",Mi Cucu,50,1,234706,0,0.142,0.743,0.858,0.00000578,7,0.311,-5.836,1,0.0369,104.815,4,0.917
3,La Sonora Dinamita,"['cumbia', 'salsa colombiana', 'tropical']",Mil Horas,56,1,254200,0,0.0156,0.792,0.625,0.00000423,0,0.0922,-8.59,1,0.043,104.977,4,0.751
4,La Sonora Dinamita,"['cumbia', 'salsa colombiana', 'tropical']",Se Me Perdió la Cadenita,50,1,155362,0,0.11,0.636,0.778,0.0000016,9,0.0847,-5.737,1,0.0322,96.409,4,0.896
5,La Sonora Dinamita,"['cumbia', 'salsa colombiana', 'tropical']",Qué Bello,55,1,255146,0,0.377,0.832,0.661,0.0000189,7,0.0716,-4.478,1,0.0296,99.954,4,0.763
6,La Sonora Dinamita,"['cumbia', 'salsa colombiana', 'tropical']",Escándalo,44,0,278120,0,0.423,0.804,0.792,0.000384,5,0.0671,-3.913,1,0.0291,103.488,4,0.715
7,La Sonora Dinamita,"['cumbia', 'salsa colombiana', 'tropical']",Mil Horas,49,0,226600,0,0.111,0.737,0.688,0.00265,3,0.0851,-9.032,1,0.0388,100.995,4,0.826
8,La Sonora Dinamita,"['cumbia', 'salsa colombiana', 'tropical']",El Viejo del Sombrerón,45,0,252186,0,0.275,0.776,0.791,0.0000164,5,0.143,-6.551,0,0.0415,107.954,4,0.961
9,La Sonora Dinamita,"['cumbia', 'salsa colombiana', 'tropical']",Oye,47,0,190466,0,0.124,0.874,0.613,0,5,0.0855,-7.051,1,0.0574,112.061,4,0.873
0,Zack Martino,['pop edm'],Make Me Yours,49,0,195239,0,0.0124,0.577,0.615,0.00000133,7,0.124,-6.084,0,0.0395,127.904,4,0.174
1,Zack Martino,['pop edm'],Crave U,47,0,212380,0,0.0806,0.716,0.83,0.00216,7,0.141,-6.063,0,0.0459,126.022,4,0.386
2,Zack Martino,['pop edm'],Lonely With You,46,0,150158,0,0.0603,0.721,0.809,0.0000272,8,0.133,-5.425,1,0.0857,123.901,4,0.451
3,Zack Martino,['pop edm'],I'm Not Alright - Zack Martino Remix,44,0,185238,0,0.00111,0.718,0.946,0.000213,1,0.34,-4.661,0,0.0405,126.072,4,0.164
4,Zack Martino,['pop edm'],Where Do We Go,42,0,140967,0,0.306,0.72,0.755,0.000461,10,0.281,-5.616,0,0.076,125.935,4,0.203
5,Zack Martino,['pop edm'],Good Vibe,40,0,197938,0,0.169,0.609,0.882,0.000177,4,0.102,-4.234,1,0.221,126.024,4,0.282
6,Zack Martino,['pop edm'],Mood,39,0,168773,0,0.225,0.82,0.775,0,11,0.166,-4.618,1,0.132,114.964,4,0.291
7,Zack Martino,['pop edm'],Rich Boy - Zack Martino Remix,37,0,155401,0,0.218,0.603,0.85,0.00000126,8,0.457,-3.582,1,0.232,95.026,4,0.526
8,Zack Martino,['pop edm'],Glue,36,0,189677,0,0.00299,0.576,0.844,0.00000195,8,0.133,-6.635,0,0.0477,123.974,4,0.267
9,Zack Martino,['pop edm'],We Found Love - Zack Martino & Kastra Remix,31,0,173333,0,0.00906,0.57,0.898,0.000131,6,0.2,-4.469,0,0.0498,125.983,4,0.176
0,Geo Da Silva,['pop house'],Booma Yee - Radio Edit,43,0,205478,0,0.0169,0.689,0.838,0,0,0.328,-4.439,1,0.0474,128.052,4,0.661
1,Geo Da Silva,['pop house'],Morena - Radio Edit,37,0,191091,0,0.000694,0.729,0.892,0.0000019,1,0.535,-4.727,0,0.103,129.972,4,0.697
2,Geo Da Silva,['pop house'],Booma Yee - Deyman Remix,35,0,203242,0,0.0132,0.8,0.783,0.00000204,9,0.33,-5.312,0,0.223,127.993,4,0.89
3,Geo Da Silva,['pop house'],Disco Inferno 2K18 - Stephan F Remix Edit,34,0,234379,0,0.00562,0.838,0.95,0.0000267,9,0.176,-0.438,0,0.0384,127.991,4,0.895
4,Geo Da Silva,['pop house'],Be With You,32,0,175243,0,0.001,0.733,0.884,0.0124,0,0.295,-3.576,1,0.12,126.084,4,0.406
5,Geo Da Silva,['pop house'],I'll Do You Like a Truck,31,0,214306,0,0.0883,0.791,0.846,0,7,0.597,-5.286,1,0.114,129.999,4,0.739
6,Geo Da Silva,['pop house'],"Makosa, Pt. 1",31,0,200045,0,0.0076,0.799,0.944,0.00969,11,0.62,-1.697,0,0.0861,104.988,4,0.915
7,Geo Da Silva,['pop house'],"I Love U, Baby",30,0,205731,0,0.000234,0.654,0.918,0.101,9,0.132,-5.861,0,0.0352,127.981,4,0.946
8,Geo Da Silva,['pop house'],Happy People - Radio Edit,30,0,180937,0,0.0697,0.717,0.961,0.00000652,8,0.0382,-5.552,0,0.055,127.956,4,0.961
9,Geo Da Silva,['pop house'],Close To You,30,0,142268,0,0.0626,0.578,0.848,0.00000786,7,0.14,-4.49,1,0.0973,125.892,4,0.462
0,Eric Chase,['pop house'],Don't Stop Believin' - Radio Edit,45,0,207044,0,0.00642,0.601,0.935,0,1,0.339,-2.995,0,0.0499,123.965,4,0.313
1,Eric Chase,['pop house'],Original,45,0,169185,0,0.00764,0.699,0.802,0.0226,1,0.346,-5.355,1,0.109,135.019,4,0.147
2,Eric Chase,['pop house'],Don't Stop Believin' - Original Mix,36,0,303870,0,0.00487,0.702,0.617,0,1,0.284,-4.002,0,0.0374,123.958,4,0.191
3,Eric Chase,['pop house'],Crush,35,0,199085,0,0.000979,0.677,0.885,0,1,0.132,-4.074,0,0.0337,123.025,4,0.49
4,Eric Chase,['pop house'],Don't Stop Believin' - Jerome Edit,34,0,198387,0,0.00447,0.76,0.76,0.000288,1,0.0614,-4.618,0,0.0329,123.973,4,0.396
5,Eric Chase,['pop house'],Fever,31,0,162023,1,0.179,0.735,0.728,0.000688,5,0.33,-5.022,1,0.09,125.992,4,0.516
6,Eric Chase,['pop house'],Wir heben ab - Eric Chase Remix,29,0,199726,0,0.255,0.318,0.72,0.0000725,6,0.111,-4.47,1,0.105,185.479,3,0.175
7,Eric Chase,['pop house'],Close to You - Radio Edit,26,0,214761,0,0.008,0.676,0.866,0.0000211,7,0.329,-3.941,0,0.0727,126.048,4,0.377
8,Eric Chase,['pop house'],Doggy - Eric Chase Remix,26,0,163548,1,0.0761,0.827,0.796,0.000127,9,0.149,-2.952,0,0.0373,123.985,4,0.762
9,Eric Chase,['pop house'],A Night Like This - Radio Edit,25,0,188076,0,0.00333,0.68,0.871,0.0000304,0,0.184,-2.69,1,0.0349,129.978,4,0.401
0,Sjowgren,"['indie pop', 'indie poptimism', 'stomp and holler']",Seventeen,60,1,225666,0,0.306,0.612,0.725,0.0784,7,0.0548,-5.602,1,0.0417,146.011,4,0.333
1,Sjowgren,"['indie pop', 'indie poptimism', 'stomp and holler']",I Don't Know,55,1,195044,0,0.0115,0.673,0.739,0.0162,1,0.371,-7.529,1,0.0266,111.968,4,0.961
2,Sjowgren,"['indie pop', 'indie poptimism', 'stomp and holler']",Now & Then,53,1,205893,0,0.149,0.543,0.549,0.082,0,0.114,-6.497,1,0.0306,80.079,4,0.404
3,Sjowgren,"['indie pop', 'indie poptimism', 'stomp and holler']",Drifty,46,0,237405,0,0.862,0.397,0.188,0.000615,8,0.126,-12.851,0,0.0364,184.057,3,0.35
4,Sjowgren,"['indie pop', 'indie poptimism', 'stomp and holler']",Human Condition,43,0,131618,0,0.0219,0.561,0.798,0.217,10,0.109,-4.619,0,0.0389,93.028,4,0.422
5,Sjowgren,"['indie pop', 'indie poptimism', 'stomp and holler']",Better Off,41,0,195923,0,0.737,0.623,0.458,0.0000269,11,0.7,-7.727,1,0.0262,97.92,4,0.426
6,Sjowgren,"['indie pop', 'indie poptimism', 'stomp and holler']",Change,38,0,90227,0,0.62,0.645,0.295,0.419,10,0.195,-12.59,1,0.0272,75.902,4,0.343
7,Sjowgren,"['indie pop', 'indie poptimism', 'stomp and holler']",Flip Phones,35,0,211786,1,0.0909,0.741,0.632,0.0147,2,0.193,-5.797,1,0.0245,100.002,4,0.594
8,Sjowgren,"['indie pop', 'indie poptimism', 'stomp and holler']",What Goes Around,33,0,179933,0,0.559,0.63,0.433,0.00702,10,0.0873,-5.874,1,0.0291,104.042,4,0.56
9,Sjowgren,"['indie pop', 'indie poptimism', 'stomp and holler']",Waiting Room,33,0,292440,0,0.127,0.606,0.428,0.614,7,0.131,-8.435,1,0.0391,145.992,4,0.292
0,ToWonder,[],Sandcastles - ToWonder X Severo Remix,42,0,214400,0,0.245,0.613,0.825,0,8,0.245,-2.717,0,0.187,150.072,4,0.402
1,ToWonder,[],Hesitate - ToWonder Remix,38,0,188731,0,0.162,0.595,0.656,0,7,0.379,-7.061,1,0.15,140.07,4,0.443
2,ToWonder,[],Think Of Me (feat. Loé),33,0,185000,0,0.606,0.499,0.61,0.0000181,1,0.0693,-4.48,1,0.031,155.212,4,0.299
3,ToWonder,[],Stay for One Night,32,0,218942,0,0.0386,0.787,0.579,0,2,0.101,-10.106,1,0.172,114.028,4,0.497
4,ToWonder,[],Quit You (feat. Tinashe) - ToWonder Remix,24,0,186122,1,0.0101,0.499,0.747,0.000608,5,0.413,-4.627,1,0.0467,97.76,4,0.54
0,Dante Klein,['pop edm'],Let Me Hold You (Turn Me On),62,1,162425,0,0.0992,0.681,0.774,0,1,0.35,-3.167,0,0.0787,102.924,4,0.267
1,Dante Klein,['pop edm'],Life,32,0,177049,0,0.0157,0.711,0.852,0.0000166,11,0.0986,-4.613,1,0.0856,121.992,4,0.385
2,Dante Klein,['pop edm'],Weekend Love,45,0,175161,0,0.0018,0.644,0.882,0.0000128,6,0.192,-4.412,0,0.0335,123.993,4,0.68
3,Dante Klein,['pop edm'],Feels Like Home (feat. Milow),42,0,190380,0,0.131,0.696,0.851,0.0000778,7,0.155,-4.396,1,0.0333,118.007,4,0.455
4,Dante Klein,['pop edm'],Too Good,40,0,141768,0,0.0873,0.729,0.835,0,7,0.203,-5.054,1,0.0372,123.042,4,0.687
5,Dante Klein,['pop edm'],Don't Know Shit,39,0,155250,1,0.0154,0.766,0.818,0,10,0.211,-4.09,0,0.0862,119.963,4,0.437
6,Dante Klein,['pop edm'],Down,35,0,177848,0,0.000305,0.677,0.675,0.00000144,9,0.043,-5.104,0,0.0322,121.988,4,0.665
7,Dante Klein,['pop edm'],The Way I Love You (feat. Cimo Fränkel),35,0,176160,0,0.0675,0.393,0.863,0.0417,11,0.269,-3.73,1,0.035,122.852,4,0.358
8,Dante Klein,['pop edm'],In Your Eyes - Dante Klein Remix,34,0,135238,0,0.00793,0.655,0.874,0,1,0.0701,-3.478,0,0.0445,126.073,4,0.607
9,Dante Klein,['pop edm'],what i like about u,34,0,164409,0,0.0201,0.751,0.628,0.0000024,2,0.161,-4.076,0,0.0333,127.037,4,0.291
0,PH Electro,['pop house'],For You - Radio Edit,38,0,217478,0,0.0127,0.588,0.939,0,5,0.17,-1.766,1,0.0719,128.007,4,0.152
1,PH Electro,['pop house'],Englishman In New York - Radio Edit,16,0,173650,0,0.0168,0.413,0.884,0,11,0.338,-4.894,0,0.075,125.766,4,0.345
2,PH Electro,['pop house'],Stereo Mexico - Original Radio Edit,39,0,174253,0,0.000411,0.655,0.883,0.0000172,11,0.612,-3.001,1,0.0528,128.019,4,0.816
3,PH Electro,['pop house'],San Francisco - Original Radio Edit,33,0,197218,0,0.00443,0.66,0.862,0,7,0.321,-5.269,1,0.0797,130.008,4,0.513
4,PH Electro,['pop house'],Gloria - Radio Edit,33,0,212523,0,0.0858,0.79,0.894,0,8,0.314,-3.961,0,0.126,126.033,4,0.704
5,PH Electro,['pop house'],Down Under 2018,31,0,174164,0,0.0113,0.75,0.518,0.0000377,11,0.0808,-12.935,0,0.0659,111.997,4,0.481
6,PH Electro,['pop house'],Stereo Mexico - Ti-Mo Remix Edit,26,0,217983,0,0.00203,0.416,0.974,0.0000507,11,0.0501,-5.092,1,0.067,141.144,4,0.801
7,PH Electro,['pop house'],Gloria - Melbourne Radio Edit,18,0,163809,0,0.0265,0.719,0.951,0.0457,1,0.362,-2.454,1,0.368,125.933,4,0.517
8,PH Electro,['pop house'],Down Under 2018 - Rene Rodrigezz Remix Edit,25,0,187500,0,0.0425,0.609,0.847,0.00000132,2,0.809,-5.172,1,0.0865,128.033,4,0.504
9,PH Electro,['pop house'],All Night Long - PH Electro Radio Edit,24,0,207588,0,0.0103,0.571,0.882,0,7,0.283,-2.392,1,0.0848,128.002,4,0.526
0,Soobin Hoang Son,['v-pop'],The Playah (feat. SlimV) - Special Performance,60,1,449577,0,0.148,0.572,0.513,0.00000141,9,0.0597,-6.078,0,0.0358,116.397,4,0.528
1,Soobin Hoang Son,['v-pop'],Tháng Năm,60,1,225358,0,0.128,0.67,0.618,0,9,0.0534,-5.467,0,0.0377,147.015,4,0.251
2,Soobin Hoang Son,['v-pop'],Ngày Mai Em Đi,52,1,218400,0,0.507,0.716,0.549,0.00000156,0,0.164,-5.086,0,0.0304,100.01,4,0.556
3,Soobin Hoang Son,['v-pop'],BLACKJACK,49,0,196742,0,0.106,0.807,0.852,0,4,0.518,-4.248,0,0.198,133.015,4,0.813
4,Soobin Hoang Son,['v-pop'],Vai Lan Don Dua,46,0,170666,0,0.555,0.724,0.668,0.00000157,6,0.194,-4.035,0,0.058,135.046,4,0.427
5,Soobin Hoang Son,['v-pop'],Anh Đã Quen Với Cô Đơn,46,0,268178,0,0.8,0.768,0.318,0.00268,5,0.14,-11.193,1,0.0355,114.973,4,0.259
6,Soobin Hoang Son,['v-pop'],Vẫn Nhớ,45,0,191586,0,0.675,0.729,0.494,0.0000208,7,0.187,-8.318,0,0.0284,95.04,4,0.143
7,Soobin Hoang Son,['v-pop'],Trò Chơi,43,0,196271,0,0.125,0.743,0.724,0.0000162,9,0.268,-6.11,0,0.0371,117.983,4,0.18
8,Soobin Hoang Son,['v-pop'],Đi Để Trở Về,41,0,202084,0,0.495,0.733,0.432,0,7,0.193,-9.624,1,0.0292,95.988,4,0.673
9,Soobin Hoang Son,['v-pop'],Xin Đừng Lặng Im,41,0,249522,0,0.777,0.547,0.447,0,0,0.106,-7.569,0,0.0291,134.82,4,0.338
0,Xillions,['pop edm'],Goodbye (feat. Xillions),58,1,155492,0,0.0359,0.689,0.801,0.000547,1,0.0743,-4.501,0,0.122,142.062,4,0.514
1,Xillions,['pop edm'],Rave Teacher (Somebody Like Me),54,1,195515,1,0.0223,0.561,0.887,0.00000193,7,0.0755,-5.986,0,0.168,145.932,4,0.312
2,Xillions,['pop edm'],Somebody Like Me (Mark With a K Remix),54,1,188000,0,0.0101,0.522,0.942,0.0933,4,0.35,-4.691,1,0.0498,74.996,4,0.305
3,Xillions,['pop edm'],Heartbeat,49,0,182800,0,0.00946,0.528,0.93,0.0416,1,0.0838,-4.827,1,0.0305,150.071,4,0.433
4,Xillions,['pop edm'],Heartbeat,42,0,176611,0,0.0693,0.697,0.935,0.0857,0,0.32,-6.187,0,0.0335,127.983,4,0.808
5,Xillions,['pop edm'],Somebody Like Me,42,0,169789,0,0.192,0.741,0.846,0,7,0.536,-4.136,0,0.109,127.926,4,0.622
6,Xillions,['pop edm'],Somebody Like Me - SOSO Remix,41,0,151186,0,0.216,0.753,0.747,0.00108,7,0.185,-3.866,0,0.032,124.935,4,0.528
7,Xillions,['pop edm'],Out Of My Mind,41,0,216801,0,0.0202,0.642,0.803,0.00024,10,0.0629,-4.232,0,0.0387,150.006,4,0.536
8,Xillions,['pop edm'],Rave Teacher (Somebody Like Me) - Album Edit,34,0,197053,1,0.0238,0.538,0.905,0,7,0.339,-3.985,0,0.0605,148.273,4,0.535
9,Xillions,['pop edm'],Leave This World,28,0,218012,0,0.0319,0.579,0.595,0.00123,1,0.123,-6.375,1,0.0425,128.114,3,0.108
0,Carla Monroe,[],Gotta Be You,68,1,149032,0,0.252,0.642,0.869,0.0288,6,0.0708,-5.271,0,0.0452,123.91,4,0.376
1,Carla Monroe,[],2AM,10,0,182400,0,0.0426,0.632,0.868,0.263,5,0.307,-6.254,1,0.0357,122.98,4,0.455
2,Carla Monroe,[],Lift Me Up (feat. Carla Monroe),60,1,177120,0,0.0426,0.579,0.784,0.0235,5,0.317,-4.686,1,0.0659,125.122,4,0.562
3,Carla Monroe,[],Shapes,50,1,174251,0,0.0548,0.74,0.83,0.00931,4,0.0746,-5.523,0,0.129,124.023,4,0.714
4,Carla Monroe,[],Apple Juice (feat. Carla Monroe) - MOTi Remix,45,0,138750,0,0.00196,0.671,0.91,0.0316,0,0.171,-3.621,1,0.1,128.036,4,0.413
5,Carla Monroe,[],Gotta Be You - Thomas Gold Remix,42,0,181686,0,0.00508,0.494,0.694,0.00823,6,0.639,-6.16,0,0.0454,128.016,4,0.316
6,Carla Monroe,[],Gotta Be You - jaakob Remix,37,0,204193,0,0.178,0.574,0.917,0.142,11,0.433,-6.4,0,0.0723,123.974,4,0.154
7,Carla Monroe,[],"Gotta Be You - Kandy ""Sweet & Sour"" Remix",32,0,130317,0,0.0861,0.775,0.724,0.00109,6,0.0565,-7.925,0,0.0386,128.032,4,0.226
8,Carla Monroe,[],Apple Juice (feat. Carla Monroe) - Denis First Remix,30,0,164516,0,0.0235,0.79,0.939,0.0546,7,0.867,-4.438,1,0.141,124.001,4,0.851
9,Carla Monroe,[],Deeper,28,0,197540,0,0.0324,0.727,0.873,0.0161,2,0.0825,-4.343,0,0.0567,123.998,4,0.216
0,Global Deejays,['pop house'],The Sound Of San Francisco - Progressive Album Mix,60,1,224200,1,0.000573,0.694,0.823,0.00102,6,0.134,-5.739,0,0.048,132.337,4,0.501
1,Global Deejays,['pop house'],What A Feeling (Flashdance) - Clubhouse Album Mix,53,1,213933,1,0.000244,0.718,0.826,0.0312,7,0.335,-5.648,0,0.0904,129.403,4,0.544
2,Global Deejays,['pop house'],What A Feeling (Flashdance) - Progressive Album Mix,42,0,196986,1,0.000619,0.668,0.886,0.052,7,0.194,-5.942,0,0.0444,132.387,4,0.647
3,Global Deejays,['pop house'],Kids - Rework,42,0,158596,0,0.00042,0.655,0.938,0.0000257,6,0.188,-3.258,0,0.134,128,4,0.169
